,count,unique,top,freq,mean,min,25%,50%,75%,max,std
company_name,502,502,1Buy.ai,1,,,,,,,
headquarters_city,496,169,San Francisco,74,,,,,,,
headquarters_country,496,44,United States,176,,,,,,,
founded_year,384.0,,,,2020.0833333333333,1974.0,2017.0,2021.0,2024.0,2026.0,4.923788192577051
company_age_years,384.0,,,,5.916666666666667,0.0,2.0,5.0,9.0,52.0,4.92378819257705
total_funding_millions,496.0,,,,779.8328850806453,0.0,4.074999999999999,23.0,125.5,158900.0,8330.782611476878
log_total_funding,479.0,,,,3.3296628420698666,-4.605170185988091,1.6290482690107408,3.258096538021482,4.874789255089425,11.976030352524807,2.2397665273079075
num_rounds,496.0,,,,2.028225806451613,0.0,1.0,1.0,3.0,13.0,1.8321510450666256
rounds_largest_millions,479.0,,,,496.71651565762005,0.01,5.0,23.0,100.0,110000.0,5366.596579325348
funding_velocity,380.0,,,,171.69125003778828,0.0,1.8533333333333335,6.733333333333333,28.0,29600.0,1715.8343044902974
founded_date,384,,,,2020-01-31 19:00:00,1974-01-01 00:00:00,2017-01-01 00:00:00,2021-01-01 00:00:00,2024-01-01 00:00:00,2026-01-01 00:00:00,
last_funding_date,496,,,,2025-03-17 14:04:50.322580480,1996-06-01 00:00:00,2026-01-08 00:00:00,2026-01-28 00:00:00,2026-03-25 06:00:00,2026-04-17 00:00:00,
primary_category,502,36,Artificial Intelligence,220,,,,,,,
subcategory,458,438,"Active, AI, B2B",3,,,,,,,
is_bay_area,502.0,,,,0.1852589641434263,0.0,0.0,0.0,0.0,1.0,0.38889504234613315
is_usa,502.0,,,,0.3745019920318725,0.0,0.0,0.0,1.0,1.0,0.4844768470889879
is_nyc,502.0,,,,0.045816733067729085,0.0,0.0,0.0,0.0,1.0,0.20929601199642897
is_london,502.0,,,,0.09362549800796813,0.0,0.0,0.0,0.0,1.0,0.29159757354521365
is_telaviv,502.0,,,,0.00796812749003984,0.0,0.0,0.0,0.0,1.0,0.0889967086569841
is_llm,502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_computer_vision,502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_robotics,502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_mlops,502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_agent,502.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
has_mega_round,502.0,,,,0.34860557768924305,0.0,0.0,0.0,1.0,1.0,0.47700417382353905
is_unicorn,502.0,,,,0.049800796812749,0.0,0.0,0.0,0.0,1.0,0.21775015476358053
top_tier_investor,502,2,N,337,,,,,,,
